shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8__FS1____1_-_IT_1,40.4882079136484,-3.89717119720281,2000099,173.539900513538
8__FS1____1_-_IT_1,40.4883358463334,-3.89752071138506,2000100,176.974839174503
8__FS1____1_-_IT_1,40.4884725875173,-3.89783314547797,2000101,180.440300149433
8__FS1____1_-_IT_1,40.4885495131662,-3.89798482688409,2000102,183.921194467348
8__FS1____1_-_IT_1,40.4886294522513,-3.8981142289997,2000103,187.416196530557
8__FS1____1_-_IT_1,40.4887468579313,-3.89830659494411,2000104,190.932071329219
8__FS1____1_-_IT_1,40.4887746594667,-3.89834157230066,2000105,194.452225450824
8__FS1____1_-_IT_1,40.48880700417,-3.89835858540655,2000106,197.976248796265
8__FS1____1_-_IT_1,40.4888317779773,-3.89835819482339,2000107,201.503022420487
8__FS1____1_-_IT_1,40.4888593989691,-3.89834558609256,2000108,205.033043073512
8__FS1____1_-_IT_1,40.4888882832385,-3.8983120855173,2000109,208.567346537593
8__FS1____1_-_IT_1,40.4889323049774,-3.89824846443233,2000110,212.108927045655
8__FS1____1_-_IT_1,40.4890845230858,-3.89803101717946,2000111,215.675510872286
8__FS1____1_-_IT_1,40.4891191483646,-3.89800009910472,2000112,219.246746620089
8__FS1____1_-_IT_1,40.4891572994514,-3.89797825699502,2000113,222.822604342539
8__FS1____1_-_IT_1,40.4891925977795,-3.89796935514303,2000114,226.402452418702
8__FS1____1_-_IT_1,40.4892213278252,-3.89796960240945,2000115,229.985489815597
8__FS1____1_-_IT_1,40.489253108271,-3.89797448743979,2000116,233.572079293182
8__FS1____1_-_IT_1,40.4892849866631,-3.89798067999086,2000117,237.162246221347
8__FS1____1_-_IT_1,40.4893144842593,-3.89800991248328,2000118,240.756519282128
8__FS1____1_-_IT_1,40.4893442113589,-3.89805493941318,2000119,244.355837419689
8__FS1____1_-_IT_1,40.4893610796531,-3.89810570299547,2000120,247.95984776015
8__FS1____1_-_IT_1,40.4893717455925,-3.89814982453179,2000121,251.567780511074
8__FS1____1_-_IT_1,40.4893746332963,-3.89820321476974,2000122,255.180249599486
8__FS1____1_-_IT_1,40.4893691979615,-3.89826514665401,2000123,258.798002182296
8__FS1____1_-_IT_1,40.4893545349476,-3.89831037237177,2000124,262.419919081415
8__FS1____1_-_IT_1,40.4893377255206,-3.89834128961953,2000125,266.045052816445
8__FS1____1_-_IT_1,40.4893243201466,-3.89837341568357,2000126,269.67328945736
8__FS1____1_-_IT_1,40.4893158281137,-3.8984035824562,2000127,273.304251082311
8__FS1____1_-_IT_1,40.4893183063248,-3.89843894337682,2000128,276.938222263269
8__FS1____1_-_IT_1,40.4893306905441,-3.8984744364183,2000129,280.575500845638
8__FS1____1_-_IT_1,40.4893612159205,-3.89851305524804,2000130,284.217490613149
8__FS1____1_-_IT_1,40.4894088097064,-3.89855118082396,2000131,287.865673443563
8__FS1____1_-_IT_1,40.4895575230111,-3.89868888339907,2000132,291.534073342401
8__FS1____1_-_IT_1,40.4898650414567,-3.8989884137537,2000133,295.245014726506
8__FS1____1_-_IT_1,40.490054028129,-3.89917766935633,2000134,298.982364342013
8__FS1____1_-_IT_1,40.4901087149655,-3.8992238222385,2000135,302.726935674371
8__FS1____1_-_IT_1,40.4901623627275,-3.89926202956465,2000136,306.478285751399
8__FS1____1_-_IT_1,40.4901984758244,-3.8992899082152,2000137,310.234289152457
8__FS1____1_-_IT_1,40.49023348391,-3.89931588536933,2000138,313.994759028877
8__FS1____1_-_IT_1,40.49023348391,-3.89931588536933,3000001,313.994759028877
8__FS1____1_-_IT_1,40.4902579811836,-3.899353576225,3000002,313.998954160042
8__FS1____1_-_IT_1,40.490272349874,-3.89939056077233,3000003,314.006666300053
8__FS1____1_-_IT_1,40.4902859459711,-3.89944833203539,3000004,314.019502017834
8__FS1____1_-_IT_1,40.4903112118157,-3.89949746126919,3000005,314.037358057716
8__FS1____1_-_IT_1,40.4904110529472,-3.89961557299119,3000006,314.070148619622
8__FS1____1_-_IT_1,40.4906375168866,-3.89994174040725,3000007,314.140304029208
8__FS1____1_-_IT_1,40.4908497104153,-3.90029651559786,3000008,314.24865515247
8__FS1____1_-_IT_1,40.4910242892335,-3.90061959365672,3000009,314.390551819764
8__FS1____1_-_IT_1,40.4911816818926,-3.90095364280163,3000010,314.565716767168
8__FS1____1_-_IT_1,40.4911973641547,-3.90097864882625,3000011,314.743624329332
8__FS1____1_-_IT_1,40.4912107166071,-3.9009892254786,3000012,314.923264083497
8__FS1____1_-_IT_1,40.491233290669,-3.90099192633404,3000013,315.105420163654
8__FS1____1_-_IT_1,40.4912583878271,-3.90098426405198,3000014,315.290436902037
8__FS1____1_-_IT_1,40.4913018658461,-3.90096884845967,3000015,315.480453737051
8__FS1____1_-_IT_1,40.4913515064501,-3.90094631614657,3000016,315.676302566247
8__FS1____1_-_IT_1,40.4914004169497,-3.90093897115252,3000017,315.877616403059
