stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_5_40,40,LAGUNA,Calle de Cuart de Poblet 1,40.39918,-3.74422,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_41,41,LEGANES,Calle  Virgen del Camino 1,40.32899,-3.77148,B1,http://www.crtm.es,0,,Europe/Madrid,1
par_5_48,48,MÓSTOLES,Paseo de la Estación 13,40.3285,-3.86349,B2,http://www.crtm.es,0,,Europe/Madrid,1
par_5_49,49,MÓSTOLES EL SOTO,Calle   Granada 17,40.33089,-3.88234,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_5,5,ALCORCÓN,Avda de Móstoles 12,40.35008,-3.83173,B1,http://www.crtm.es,0,,Europe/Madrid,1
par_5_52,52,ORCASITAS,Calle de Campotejar 24,40.36691,-3.70442,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_62,62,PUENTE ALCOCER,Calle de Alcocer 54,40.35028,-3.70516,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_66,66,RETAMAS LAS,Avda de Retamas 2,40.34189,-3.84242,B1,http://www.crtm.es,0,,Europe/Madrid,1
par_5_7,7,ALUCHE,Calle de Valmojado 293,40.38563,-3.76074,A,http://www.crtm.es,0,est_90_1,,0
par_5_72,72,SAN JOSÉ DE VALDERAS,Calle de Sahagún 36,40.35653,-3.81588,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_77,77,SERNA LA,Calle   Barcelona 28,40.29672,-3.79248,B2,http://www.crtm.es,0,,Europe/Madrid,1
par_5_95,95,ZARZAQUEMADA,Avda   Europa 14,40.34085,-3.7483,B1,http://www.crtm.es,0,,Europe/Madrid,1
est_90_1,1,Aluche,Calle de Valmojado 293,40.38563,-3.76085,A,http://www.crtm.es,1,,Europe/Madrid,0
par_5_13,13,BARRIAL-C.COM.POZUELO EL,Via   Ferrocarril SN,40.46537,-3.80774,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_145,145,MIRASIERRA-PACO DE LUCÍA,Calle de la Costa Brava 14 B,40.49971,-3.70918,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_42,42,MAJADAHONDA,Cmno   Estación del Plantío 6,40.47428,-3.84534,B2,http://www.crtm.es,0,,Europe/Madrid,1
par_5_58,58,PITIS,Ctra a la Estación de Pitis 19,40.4951,-3.72584,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_60,60,POZUELO,Calle   Estación 2,40.44727,-3.80012,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_64,64,RAMÓN Y CAJAL,Calle de San Modesto 50,40.48824,-3.69473,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_68,68,ROZAS LAS,Calle de la Vía de Servicio de las Rozas 1,40.49423,-3.86812,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_9,9,ARAVACA,Calle de la Golondrina 104,40.44833,-3.78586,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_16,16,CERCEDILLA,Calle del Cascajal 7,40.73757,-4.0659,C2,http://www.crtm.es,0,,Europe/Madrid,1
par_5_20,20,COLLADO MEDIANO,Paseo de los Rosales 47,40.69276,-4.03587,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_33,33,GALAPAGAR-LA NAVATA,Ctra de Galapagar-La Navata 154,40.60011,-3.98185,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_5_44,44,MATAS LAS,Plaza del Ferrocarril 1,40.55252,-3.89683,B2,http://www.crtm.es,0,,Europe/Madrid,1
par_5_47,47,MOLINOS LOS,Gta de la Estación 2,40.70734,-4.06681,C2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_50,50,NEGRALES LOS,Avda de la Reina Victoria 47,40.63858,-4.02189,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_55,55,PINAR DE LAS ROZAS,Lugar   Estación Ferrocarril El Pinar 1,40.5223,-3.88216,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_6,6,ALPEDRETE,Cmno de la Estación 36,40.65816,-4.03506,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_82,82,TORRELODONES,Plaza de Salvador Sánchez Frascuelo 6,40.57451,-3.95654,B3,http://www.crtm.es,0,,Europe/Madrid,1
par_5_91,91,VILLALBA,Plaza de la Estación 1,40.62637,-4.0081,B3,http://www.crtm.es,0,,Europe/Madrid,1
par_5_23,23,COTOS,Ctra   M-604 (de la A-1 al Puerto de Navacerrada) 1,40.82226,-3.96452,C2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_63,63,PUERTO NAVACERRADA,Calle de la Virgen de las Nieves 7,40.78441,-4.00473,C2,http://www.crtm.es,0,,Europe/Madrid,0
